route_pair,trip_type,direction,pax_count,fare_name,flights_with_fare,total_flights,coverage_rate
ASR-IST,OW,IST,1,EcoFly,28,30,93.3
ASR-IST,OW,IST,1,ExtraFly,28,30,93.3
ASR-IST,OW,IST,1,PrimeFly,28,30,93.3
ASR-IST,OW,IST,1,Business,30,30,100.0
AYT-IST,OW,IST,1,EcoFly,50,50,100.0
AYT-IST,OW,IST,1,ExtraFly,50,50,100.0
AYT-IST,OW,IST,1,PrimeFly,50,50,100.0
AYT-IST,OW,IST,1,Business,50,50,100.0
AYT-IST,OW,IST,2,EcoFly,16,16,100.0
AYT-IST,OW,IST,2,ExtraFly,16,16,100.0
AYT-IST,OW,IST,2,PrimeFly,16,16,100.0
AYT-IST,OW,IST,2,Business,16,16,100.0
AYT-IST,RT,IST->AYT,1,EcoFly,17,17,100.0
AYT-IST,RT,IST->AYT,1,ExtraFly,17,17,100.0
AYT-IST,RT,IST->AYT,1,PrimeFly,17,17,100.0
AYT-IST,RT,IST->AYT,1,Business,17,17,100.0
IST-NAV,OW,IST,1,EcoFly,20,20,100.0
IST-NAV,OW,IST,1,ExtraFly,20,20,100.0
IST-NAV,OW,IST,1,PrimeFly,20,20,100.0
IST-NAV,OW,IST,1,Business,0,20,0.0
IST-VAN,OW,IST,1,EcoFly,12,12,100.0
IST-VAN,OW,IST,1,ExtraFly,12,12,100.0
IST-VAN,OW,IST,1,PrimeFly,12,12,100.0
IST-VAN,OW,IST,1,Business,0,12,0.0
